,title,views,day
161,New_Kids_on_the_Block,650,2021-01-01
162,"Earth,_Wind_&_Fire",648,2021-01-01
163,The_Sweet,648,2021-01-01
164,The_Feeling,647,2021-01-01
165,The_Byrds,639,2021-01-01
166,Soundgarden,635,2021-01-01
167,The_Pretty_Reckless,634,2021-01-01
168,Alabama_(band),629,2021-01-01
169,Die_Antwoord,629,2021-01-01
170,Dream_Theater,628,2021-01-01
171,GFriend,626,2021-01-01
172,Counting_Crows,622,2021-01-01
173,A_Tribe_Called_Quest,622,2021-01-01
174,The_Avett_Brothers,620,2021-01-01
175,Rat_Pack,619,2021-01-01
176,Pink_Martini,618,2021-01-01
177,Foreigner_(band),617,2021-01-01
178,INXS,615,2021-01-01
179,The_Doobie_Brothers,612,2021-01-01
180,Spandau_Ballet,611,2021-01-01
181,The_Moody_Blues,610,2021-01-01
182,The_Pogues,609,2021-01-01
183,Whitesnake,603,2021-01-01
184,Steps_(pop_group),600,2021-01-01
185,The_1975,600,2021-01-01
186,The_Chicks,595,2021-01-01
187,De_La_Soul,589,2021-01-01
188,Avenged_Sevenfold,588,2021-01-01
189,MGMT,588,2021-01-01
190,Queens_of_the_Stone_Age,587,2021-01-01
191,4_Non_Blondes,585,2021-01-01
192,The_Swallows,583,2021-01-01
193,Blur_(band),582,2021-01-01
194,Uriah_Heep_(band),579,2021-01-01
195,Kings_of_Leon,573,2021-01-01
196,Three_Dog_Night,571,2021-01-01
197,Pixies_(band),571,2021-01-01
198,The_Pussycat_Dolls,569,2021-01-01
199,The_Four_Seasons_(band),563,2021-01-01
200,Greta_Van_Fleet,562,2021-01-01
201,The_Runaways,560,2021-01-01
202,Boston_(band),558,2021-01-01
203,Ace_of_Base,557,2021-01-01
204,Thin_Lizzy,557,2021-01-01
205,Odd_Future,556,2021-01-01
206,Sault_(band),548,2021-01-01
207,Chumbawamba,547,2021-01-01
208,The_Yardbirds,547,2021-01-01
209,Disturbed_(band),544,2021-01-01
210,The_Mountain_Goats,543,2021-01-01
211,Status_Quo_(band),541,2021-01-01
212,Death_Grips,539,2021-01-01
213,Modern_Talking,538,2021-01-01
214,The_Lonely_Island,538,2021-01-01
215,Massive_Attack,537,2021-01-01
216,Ghost_(Swedish_band),534,2021-01-01
217,Slade,534,2021-01-01
218,Rainbow_(rock_band),534,2021-01-01
219,Kool_&_the_Gang,525,2021-01-01
220,The_Hollies,522,2021-01-01
221,The_Roots,522,2021-01-01
222,REO_Speedwagon,519,2021-01-01
223,Five_Finger_Death_Punch,518,2021-01-01
224,Roxy_Music,517,2021-01-01
225,Shocking_Blue,516,2021-01-01
226,The_Cars,514,2021-01-01
227,Mayhem_(band),511,2021-01-01
228,Florence_and_the_Machine,511,2021-01-01
229,Siouxsie_and_the_Banshees,510,2021-01-01
230,Cheap_Trick,509,2021-01-01
231,The_Seekers,509,2021-01-01
232,Misfits_(band),508,2021-01-01
233,Mumford_&_Sons,508,2021-01-01
234,The_National_(band),507,2021-01-01
235,Alabama_Shakes,506,2021-01-01
236,Eurythmics,505,2021-01-01
237,Stone_Temple_Pilots,502,2021-01-01
238,The_Temptations,501,2021-01-01
239,Opeth,499,2021-01-01
240,Mazzy_Star,499,2021-01-01
241,Little_Big_(band),499,2021-01-01
242,T._Rex_(band),494,2021-01-01
243,Santana_(band),494,2021-01-01
244,Mother_Mother,493,2021-01-01
245,King_Gizzard_&_the_Lizard_Wizard,490,2021-01-01
246,The_Supremes,488,2021-01-01
247,Salt-N-Pepa,487,2021-01-01
248,"Emerson,_Lake_&_Palmer",485,2021-01-01
249,Polyphia,484,2021-01-01
250,Creed_(band),483,2021-01-01
251,The_Pointer_Sisters,482,2021-01-01
252,Kansas_(band),479,2021-01-01
253,Day6,478,2021-01-01
254,Deftones,475,2021-01-01
255,The_Pretenders,474,2021-01-01
256,Bloodhound_Gang,474,2021-01-01
257,America_(band),473,2021-01-01
258,ASAP_Mob,472,2021-01-01
259,"Peter,_Paul_and_Mary",470,2021-01-01
260,Sonic_Youth,468,2021-01-01
261,Faith_No_More,463,2021-01-01
262,Barenaked_Ladies,461,2021-01-01
263,Devo,461,2021-01-01
264,Culture_Club,461,2021-01-01
265,Scooter_(band),457,2021-01-01
266,Garbage_(band),456,2021-01-01
267,Audioslave,452,2021-01-01
268,Arcade_Fire,448,2021-01-01
269,Monsta_X,447,2021-01-01
270,Meshuggah,446,2021-01-01
271,5_Seconds_of_Summer,443,2021-01-01
272,Tangerine_Dream,442,2021-01-01
273,Phish,441,2021-01-01
274,The_Alan_Parsons_Project,441,2021-01-01
275,Migos,439,2021-01-01
276,Dr._Hook_&_the_Medicine_Show,437,2021-01-01
277,BadBadNotGood,435,2021-01-01
278,A_Perfect_Circle,432,2021-01-01
